questionnaire_id,questionnaire_name,version,instrument_type,sector,subtype,section,final_item,original_item,item_id,item_text,response_type,default_scoring,allowed_scoring,validation_status,source,source_line_start,source_line_end,notes
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,1,1,AUDIT-F2015-001,La empresa ha realizado o dispone de una evaluación de riesgos biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",11,12,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,2,2,AUDIT-F2015-002,"La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",13,14,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,3,3,AUDIT-F2015-003,La evaluación de riesgos se repite periódicamente (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",15,21,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,4,5,AUDIT-F2015-004,El empresario adopta las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",29,31,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,5,6,AUDIT-F2015-005,Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",32,34,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,6,7,AUDIT-F2015-006,"Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",35,36,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,7,8,AUDIT-F2015-007,"Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",37,39,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,8,13,AUDIT-F2015-008,El empresario garantiza una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",40,41,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,9,15,AUDIT-F2015-009,"Si existe riesgo de exposición a agentes biológicos para los que haya vacunas eficaces, la empresa las pone a disposición de los trabajadores informándoles de las ventajas e inconvenientes de la vacunación (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",42,44,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,10,16,AUDIT-F2015-010,La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",45,47,
