blind_id,case_id,n_evaluation_units,n_failed_controls,n_failed_controls_with_id,n_preventive_actions,n_preventive_actions_with_item_id,n_sources_or_basis,preventive_actions_triage,traceability_triage
ADJ001,ERBB-P03,1,0,0,1,0,4,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ002,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ003,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ004,ERBB-P03,1,1,1,6,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ005,ERBB-P03,1,0,0,1,0,1,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ006,ERBB-P02,1,8,8,3,0,1,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ007,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ008,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ009,ERBB-P02,1,0,0,3,0,2,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ010,ERBB-P03,1,0,0,0,0,2,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ011,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ012,ERBB-P04,1,4,4,0,0,2,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ013,ERBB-P02,1,0,0,1,0,4,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ014,ERBB-P01,1,1,1,2,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ015,ERBB-P02,1,0,0,4,0,1,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ016,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ017,ERBB-P04,1,0,0,1,0,1,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ018,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ019,ERBB-P02,1,1,1,3,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ020,ERBB-P02,1,0,0,1,0,5,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ021,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ022,ERBB-P02,1,0,0,3,0,2,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ023,ERBB-P01,1,0,0,3,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ024,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ025,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ026,ERBB-P03,1,29,29,1,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ027,ERBB-P03,1,3,3,5,5,4,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ028,ERBB-P02,1,1,1,2,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ029,ERBB-P03,1,29,29,29,29,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ030,ERBB-P02,1,8,8,8,8,3,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ031,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ032,ERBB-P02,1,0,0,3,0,4,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ033,ERBB-P01,1,8,8,8,8,1,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ034,ERBB-P03,1,29,29,29,29,3,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ035,ERBB-P02,1,1,1,1,0,2,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ036,ERBB-P01,1,8,8,8,8,3,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ037,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ038,ERBB-P04,1,0,0,2,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ039,ERBB-P03,1,1,1,1,0,2,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ040,ERBB-P04,1,0,0,0,0,2,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ041,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ042,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ043,ERBB-P02,1,0,0,2,0,5,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ044,ERBB-P03,1,1,0,4,0,2,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ045,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ046,ERBB-P04,1,4,4,4,4,1,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ047,ERBB-P01,1,8,8,8,8,3,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ048,ERBB-P01,1,1,1,1,0,1,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ049,ERBB-P03,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ050,ERBB-P03,1,1,1,3,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ051,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ052,ERBB-P03,1,29,29,0,0,10,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ053,ERBB-P04,1,4,4,1,0,2,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ054,ERBB-P02,1,1,0,3,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ055,ERBB-P02,1,0,0,0,0,3,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ056,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ057,ERBB-P03,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ058,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ059,ERBB-P01,1,2,2,5,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ060,ERBB-P04,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ061,ERBB-P03,1,29,29,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ062,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ063,ERBB-P04,1,0,0,3,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ064,ERBB-P04,1,0,0,3,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ065,ERBB-P01,1,0,0,3,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ066,ERBB-P02,1,4,4,5,5,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ067,ERBB-P03,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ068,ERBB-P03,1,0,0,1,0,5,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ069,ERBB-P01,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ070,ERBB-P01,1,0,0,1,0,5,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ071,ERBB-P01,1,0,0,3,0,3,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ072,ERBB-P03,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ073,ERBB-P03,1,1,1,1,1,1,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ074,ERBB-P01,1,0,0,2,0,1,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ075,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ076,ERBB-P01,1,1,0,4,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ077,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ078,ERBB-P03,1,1,1,3,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ079,ERBB-P03,1,1,0,2,0,5,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ080,ERBB-P01,1,1,1,2,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ081,ERBB-P02,1,8,8,8,8,1,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ082,ERBB-P02,1,0,0,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ083,ERBB-P01,1,0,0,1,0,5,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ084,ERBB-P01,1,1,1,4,0,5,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ085,ERBB-P01,1,8,8,3,0,1,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ086,ERBB-P02,1,1,0,3,0,1,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ087,ERBB-P03,1,29,29,29,29,1,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ088,ERBB-P03,1,1,0,3,0,4,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ089,ERBB-P01,1,1,0,2,0,3,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
ADJ090,ERBB-P01,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ091,ERBB-P02,1,8,8,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ092,ERBB-P02,1,8,8,8,8,2,CANDIDATE_TRACEABLE,REVIEW_COHERENCE
ADJ093,ERBB-P03,1,0,0,0,0,0,REVIEW_NO_ACTIONS,REVIEW_NO_SOURCES
ADJ094,ERBB-P03,1,29,29,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ095,ERBB-P01,1,0,0,1,0,4,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ096,ERBB-P03,1,0,0,2,0,1,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ097,ERBB-P03,1,0,0,1,0,4,REVIEW_SEMANTIC,REVIEW_COHERENCE
ADJ098,ERBB-P03,1,29,29,0,0,1,REVIEW_NO_ACTIONS,REVIEW_COHERENCE
ADJ099,ERBB-P02,1,1,1,4,0,5,REVIEW_UNTRACEABLE_ACTIONS,REVIEW_COHERENCE
