item_id,questionnaire_id,questionnaire_name,instrument_type,sector,subtype,section,final_item,item_text_es_source,validation_status_source,source,source_line_start,source_line_end,taxonomy_primary,taxonomy_name,action_logic,prescription_level,cause_assessment_es,corrective_action_es,implementation_requirements_es,verification_criteria_es,preventive_action_es,review_priority,review_reason,review_status,reviewer,review_notes,preventive_action_en,translation_status,draft_method,expert_layer_version,provenance_layer
AUDIT-F2015-001,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,1,La empresa ha realizado o dispone de una evaluación de riesgos biológicos (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",11,12,T01,Evaluación del riesgo e identificación de agentes,L3,P2,"Determinar por qué no se dispone de una evaluación de riesgos biológicos vigente: inexistencia, alcance insuficiente, falta de actualización o ausencia de información sobre tareas y agentes.","Realizar o actualizar la evaluación del riesgo biológico de las actividades afectadas, identificando tareas, situaciones de exposición y agentes conocidos o razonablemente previsibles.","Definir el alcance, los puestos y tareas incluidos, las fuentes de información utilizadas y los criterios de revisión; integrar las medidas derivadas en la planificación preventiva.","Comprobar que la evaluación está documentada, vigente, cubre las actividades reales y que las medidas derivadas han sido incorporadas y seguidas.","Determinar por qué no se dispone de una evaluación de riesgos biológicos vigente: inexistencia, alcance insuficiente, falta de actualización o ausencia de información sobre tareas y agentes. Realizar o actualizar la evaluación del riesgo biológico de las actividades afectadas, identificando tareas, situaciones de exposición y agentes conocidos o razonablemente previsibles. Definir el alcance, los puestos y tareas incluidos, las fuentes de información utilizadas y los criterios de revisión; integrar las medidas derivadas en la planificación preventiva. Comprobar que la evaluación está documentada, vigente, cubre las actividades reales y que las medidas derivadas han sido incorporadas y seguidas.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Seed estándar previamente aprobado. | Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,human_approved_seed_v0.1,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-002,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,2,"La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos (4 puntos)",validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",13,14,T01,Evaluación del riesgo e identificación de agentes,L3,P2,"En relación con el control «La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos», determinar por qué la evaluación o identificación del riesgo no cubre de forma suficiente este control: ausencia de evaluación, alcance incompleto, información insuficiente sobre tareas o agentes, falta de actualización o cambios no incorporados.","Realizar, completar o actualizar la evaluación o identificación necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos»).","Definir alcance, puestos y tareas, agentes y vías de exposición, fuentes de información, fecha y criterios de revisión; integrar las medidas resultantes en la planificación y mantener la trazabilidad de las decisiones.","Comprobar documentalmente que la evaluación está vigente, cubre las actividades reales y que las medidas derivadas se han incorporado; revisar tras cambios, incidentes o nueva información relevante.","En relación con el control «La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos», determinar por qué la evaluación o identificación del riesgo no cubre de forma suficiente este control: ausencia de evaluación, alcance incompleto, información insuficiente sobre tareas o agentes, falta de actualización o cambios no incorporados. Realizar, completar o actualizar la evaluación o identificación necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos»). Definir alcance, puestos y tareas, agentes y vías de exposición, fuentes de información, fecha y criterios de revisión; integrar las medidas resultantes en la planificación y mantener la trazabilidad de las decisiones. Comprobar documentalmente que la evaluación está vigente, cubre las actividades reales y que las medidas derivadas se han incorporado; revisar tras cambios, incidentes o nueva información relevante.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-003,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,3,La evaluación de riesgos se repite periódicamente (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",15,21,T01,Evaluación del riesgo e identificación de agentes,L3,P2,"En relación con el control «La evaluación de riesgos se repite periódicamente», determinar por qué la evaluación o identificación del riesgo no cubre de forma suficiente este control: ausencia de evaluación, alcance incompleto, información insuficiente sobre tareas o agentes, falta de actualización o cambios no incorporados.","Realizar, completar o actualizar la evaluación o identificación necesaria para repetir la evaluación de riesgos periódicamente.","Definir alcance, puestos y tareas, agentes y vías de exposición, fuentes de información, fecha y criterios de revisión; integrar las medidas resultantes en la planificación y mantener la trazabilidad de las decisiones.","Comprobar documentalmente que la evaluación está vigente, cubre las actividades reales y que las medidas derivadas se han incorporado; revisar tras cambios, incidentes o nueva información relevante.","En relación con el control «La evaluación de riesgos se repite periódicamente», determinar por qué la evaluación o identificación del riesgo no cubre de forma suficiente este control: ausencia de evaluación, alcance incompleto, información insuficiente sobre tareas o agentes, falta de actualización o cambios no incorporados. Realizar, completar o actualizar la evaluación o identificación necesaria para repetir la evaluación de riesgos periódicamente. Definir alcance, puestos y tareas, agentes y vías de exposición, fuentes de información, fecha y criterios de revisión; integrar las medidas resultantes en la planificación y mantener la trazabilidad de las decisiones. Comprobar documentalmente que la evaluación está vigente, cubre las actividades reales y que las medidas derivadas se han incorporado; revisar tras cambios, incidentes o nueva información relevante.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-004,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,4,El empresario adopta las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes biológicos (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",29,31,T08,"Selección, disponibilidad y uso de EPI",L2,P2,"En relación con el control «El empresario adopta las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes…», analizar si el problema deriva de selección inadecuada del EPI, falta de disponibilidad, talla o ajuste incorrectos, incompatibilidad con la tarea, deterioro, instrucciones insuficientes o ausencia de supervisión del uso.","Revisar la selección y gestión del EPI y garantizar, cuando resulte exigible según la evaluación, adoptar las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes biológicos. La corrección no debe limitarse a exigir el uso: deben resolverse previamente los problemas de adecuación, disponibilidad, ajuste, compatibilidad, procedimiento o supervisión que estén originando la deficiencia.","Verificar adecuación al agente, vía de exposición, tarea, duración y riesgos concurrentes; asegurar tallas, modelos y disponibilidad suficientes; definir colocación, retirada, sustitución, almacenamiento y formación; revisar compatibilidad entre EPI.","Observar tareas reales y comprobar disponibilidad, estado, ajuste, compatibilidad y uso correcto; registrar desviaciones significativas e investigar sus causas antes de atribuirlas a incumplimiento individual.","En relación con el control «El empresario adopta las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes…», analizar si el problema deriva de selección inadecuada del EPI, falta de disponibilidad, talla o ajuste incorrectos, incompatibilidad con la tarea, deterioro, instrucciones insuficientes o ausencia de supervisión del uso. Revisar la selección y gestión del EPI y garantizar, cuando resulte exigible según la evaluación, adoptar las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes biológicos. La corrección no debe limitarse a exigir el uso: deben resolverse previamente los problemas de adecuación, disponibilidad, ajuste, compatibilidad, procedimiento o supervisión que estén originando la deficiencia. Verificar adecuación al agente, vía de exposición, tarea, duración y riesgos concurrentes; asegurar tallas, modelos y disponibilidad suficientes; definir colocación, retirada, sustitución, almacenamiento y formación; revisar compatibilidad entre EPI. Observar tareas reales y comprobar disponibilidad, estado, ajuste, compatibilidad y uso correcto; registrar desviaciones significativas e investigar sus causas antes de atribuirlas a incumplimiento individual.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-005,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,5,Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",32,34,T22,Control específico del proceso/sector,L3,P2,"En relación con el control «Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores», analizar el punto concreto del proceso sectorial al que se refiere el ítem y determinar por qué el control no se aplica o no resulta eficaz: diseño del proceso, equipos, secuencia operativa, mantenimiento, recursos, instrucciones o supervisión.",Definir e implantar la medida técnica u organizativa necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores»). La especificación final debe ajustarse a las condiciones reales del puesto y no inferirse automáticamente cuando falten datos técnicos esenciales.,"Definir la solución técnica u organizativa atendiendo al proceso concreto, agente o material implicado, vía de exposición y condiciones de operación; cuando el ítem no permita una única solución, mantener explícitamente la necesidad de valoración profesional.","Comprobar en condiciones reales que el control implantado reduce o evita la exposición prevista, mediante observación, registros, indicadores de proceso y, cuando proceda, verificaciones técnicas.","En relación con el control «Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores», analizar el punto concreto del proceso sectorial al que se refiere el ítem y determinar por qué el control no se aplica o no resulta eficaz: diseño del proceso, equipos, secuencia operativa, mantenimiento, recursos, instrucciones o supervisión. Definir e implantar la medida técnica u organizativa necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores»). La especificación final debe ajustarse a las condiciones reales del puesto y no inferirse automáticamente cuando falten datos técnicos esenciales. Definir la solución técnica u organizativa atendiendo al proceso concreto, agente o material implicado, vía de exposición y condiciones de operación; cuando el ítem no permita una única solución, mantener explícitamente la necesidad de valoración profesional. Comprobar en condiciones reales que el control implantado reduce o evita la exposición prevista, mediante observación, registros, indicadores de proceso y, cuando proceda, verificaciones técnicas.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-006,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,6,"Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo (4 puntos)",validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",35,36,T05,Higiene personal y descontaminación,L2,P2,"En relación con el control «Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo», analizar por qué la práctica higiénica no se realiza de forma correcta y sostenida: medios insuficientes, ubicación inadecuada, procedimiento poco claro, tiempos incompatibles con la tarea, falta de reposición o incumplimientos no investigados.","Restablecer una práctica higiénica efectiva orientada a asegurar el cumplimiento efectivo del control descrito en el ítem («Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo»).","Asegurar disponibilidad y accesibilidad de medios, definir cuándo y cómo realizar la práctica, reposición y mantenimiento, y proporcionar información o formación cuando exista una brecha de conocimiento o aplicación.","Observar la práctica real, revisar disponibilidad y estado de medios y reposición, y corregir causas cuando aparezcan incumplimientos reiterados.","En relación con el control «Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo», analizar por qué la práctica higiénica no se realiza de forma correcta y sostenida: medios insuficientes, ubicación inadecuada, procedimiento poco claro, tiempos incompatibles con la tarea, falta de reposición o incumplimientos no investigados. Restablecer una práctica higiénica efectiva orientada a asegurar el cumplimiento efectivo del control descrito en el ítem («Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo»). Asegurar disponibilidad y accesibilidad de medios, definir cuándo y cómo realizar la práctica, reposición y mantenimiento, y proporcionar información o formación cuando exista una brecha de conocimiento o aplicación. Observar la práctica real, revisar disponibilidad y estado de medios y reposición, y corregir causas cuando aparezcan incumplimientos reiterados.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-007,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,7,"Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas (4 puntos)",validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",37,39,T08,"Selección, disponibilidad y uso de EPI",L2,P2,"En relación con el control «Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas», analizar si el problema deriva de selección inadecuada del EPI, falta de disponibilidad, talla o ajuste incorrectos, incompatibilidad con la tarea, deterioro, instrucciones insuficientes o ausencia de supervisión del uso.","Revisar la selección y gestión del EPI y garantizar, cuando resulte exigible según la evaluación, asegurar el cumplimiento efectivo del control descrito en el ítem («Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas»). La corrección no debe limitarse a exigir el uso: deben resolverse previamente los problemas de adecuación, disponibilidad, ajuste, compatibilidad, procedimiento o supervisión que estén originando la deficiencia.","Verificar adecuación al agente, vía de exposición, tarea, duración y riesgos concurrentes; asegurar tallas, modelos y disponibilidad suficientes; definir colocación, retirada, sustitución, almacenamiento y formación; revisar compatibilidad entre EPI.","Observar tareas reales y comprobar disponibilidad, estado, ajuste, compatibilidad y uso correcto; registrar desviaciones significativas e investigar sus causas antes de atribuirlas a incumplimiento individual.","En relación con el control «Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas», analizar si el problema deriva de selección inadecuada del EPI, falta de disponibilidad, talla o ajuste incorrectos, incompatibilidad con la tarea, deterioro, instrucciones insuficientes o ausencia de supervisión del uso. Revisar la selección y gestión del EPI y garantizar, cuando resulte exigible según la evaluación, asegurar el cumplimiento efectivo del control descrito en el ítem («Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas»). La corrección no debe limitarse a exigir el uso: deben resolverse previamente los problemas de adecuación, disponibilidad, ajuste, compatibilidad, procedimiento o supervisión que estén originando la deficiencia. Verificar adecuación al agente, vía de exposición, tarea, duración y riesgos concurrentes; asegurar tallas, modelos y disponibilidad suficientes; definir colocación, retirada, sustitución, almacenamiento y formación; revisar compatibilidad entre EPI. Observar tareas reales y comprobar disponibilidad, estado, ajuste, compatibilidad y uso correcto; registrar desviaciones significativas e investigar sus causas antes de atribuirlas a incumplimiento individual.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-008,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,8,El empresario garantiza una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",40,41,T04,Vigilancia de la salud y vacunación,L3,P2,"En relación con el control «El empresario garantiza una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos», revisar por qué la actuación de vigilancia de la salud o vacunación no se aplica correctamente: población expuesta mal definida, circuito asistencial incompleto, información insuficiente, falta de oferta o seguimiento, o cambios de exposición no incorporados.",Revisar e implantar el circuito preventivo-sanitario necesario para garantizar una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos. Las decisiones clínicas o de aptitud que correspondan quedan fuera de la automatización y requieren intervención profesional.,"Coordinar la actuación con vigilancia de la salud, delimitar la población potencialmente expuesta, documentar la información, oferta y seguimiento aplicables y mantener los criterios profesionales correspondientes.","Comprobar que el circuito funciona para la población expuesta, que la información, oferta y seguimiento quedan documentados cuando proceda y que los cambios de exposición generan revisión.","En relación con el control «El empresario garantiza una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos», revisar por qué la actuación de vigilancia de la salud o vacunación no se aplica correctamente: población expuesta mal definida, circuito asistencial incompleto, información insuficiente, falta de oferta o seguimiento, o cambios de exposición no incorporados. Revisar e implantar el circuito preventivo-sanitario necesario para garantizar una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos. Las decisiones clínicas o de aptitud que correspondan quedan fuera de la automatización y requieren intervención profesional. Coordinar la actuación con vigilancia de la salud, delimitar la población potencialmente expuesta, documentar la información, oferta y seguimiento aplicables y mantener los criterios profesionales correspondientes. Comprobar que el circuito funciona para la población expuesta, que la información, oferta y seguimiento quedan documentados cuando proceda y que los cambios de exposición generan revisión.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-009,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,9,"Si existe riesgo de exposición a agentes biológicos para los que haya vacunas eficaces, la empresa las pone a disposición de los trabajadores informándoles de las ventajas e inconvenientes de la vacunación (4 puntos)",validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",42,44,T04,Vigilancia de la salud y vacunación,L3,P2,"Revisar si existen agentes biológicos con vacuna eficaz y determinar por qué la oferta, información o acceso a la vacunación no se está produciendo de forma adecuada.",Establecer un circuito para poner a disposición la vacunación cuando resulte aplicable y facilitar información comprensible sobre sus ventajas e inconvenientes.,"Coordinar la actuación con vigilancia de la salud, definir población potencialmente expuesta y documentar la información y oferta realizada, respetando los criterios profesionales aplicables.",Verificar periódicamente que las personas potencialmente expuestas han recibido la información y que el circuito de acceso funciona.,"Revisar si existen agentes biológicos con vacuna eficaz y determinar por qué la oferta, información o acceso a la vacunación no se está produciendo de forma adecuada. Establecer un circuito para poner a disposición la vacunación cuando resulte aplicable y facilitar información comprensible sobre sus ventajas e inconvenientes. Coordinar la actuación con vigilancia de la salud, definir población potencialmente expuesta y documentar la información y oferta realizada, respetando los criterios profesionales aplicables. Verificar periódicamente que las personas potencialmente expuestas han recibido la información y que el circuito de acceso funciona.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Seed estándar previamente aprobado. | Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,human_approved_seed_v0.1,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
AUDIT-F2015-010,audit,Auditoría del sistema de gestión del riesgo biológico,core_questionnaire,,,Auditoría / gestión,10,La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos (4 puntos),validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",45,47,T22,Control específico del proceso/sector,L3,P2,"En relación con el control «La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos», analizar el punto concreto del proceso sectorial al que se refiere el ítem y determinar por qué el control no se aplica o no resulta eficaz: diseño del proceso, equipos, secuencia operativa, mantenimiento, recursos, instrucciones o supervisión.",Definir e implantar la medida técnica u organizativa necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos»). La especificación final debe ajustarse a las condiciones reales del puesto y no inferirse automáticamente cuando falten datos técnicos esenciales.,"Definir la solución técnica u organizativa atendiendo al proceso concreto, agente o material implicado, vía de exposición y condiciones de operación; cuando el ítem no permita una única solución, mantener explícitamente la necesidad de valoración profesional.","Comprobar en condiciones reales que el control implantado reduce o evita la exposición prevista, mediante observación, registros, indicadores de proceso y, cuando proceda, verificaciones técnicas.","En relación con el control «La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos», analizar el punto concreto del proceso sectorial al que se refiere el ítem y determinar por qué el control no se aplica o no resulta eficaz: diseño del proceso, equipos, secuencia operativa, mantenimiento, recursos, instrucciones o supervisión. Definir e implantar la medida técnica u organizativa necesaria para asegurar el cumplimiento efectivo del control descrito en el ítem («La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos»). La especificación final debe ajustarse a las condiciones reales del puesto y no inferirse automáticamente cuando falten datos técnicos esenciales. Definir la solución técnica u organizativa atendiendo al proceso concreto, agente o material implicado, vía de exposición y condiciones de operación; cuando el ítem no permita una única solución, mantener explícitamente la necesidad de valoración profesional. Comprobar en condiciones reales que el control implantado reduce o evita la exposición prevista, mediante observación, registros, indicadores de proceso y, cuando proceda, verificaciones técnicas.",STANDARD,revisión experta ordinaria,APPROVED_ES,Expert review,Aprobado tras revisión experta completa de la capa española.,,NOT_STARTED,deterministic_expert_template_v0.2,0.5,"ERBioR expert preventive-action layer v0.5; new expert development, not verbatim source-questionnaire content"
