rule_id,scope,rule,operational_rule,source,source_lines,source_url
CLASS-ONLY-HUMAN-INFECTIOUS,registry,The Annex II classification includes agents known to cause infectious disease in humans; animal/plant pathogens known not to affect humans and GM microorganisms are outside this list.,Do not infer coverage beyond the statutory list.,RD 664/1997 Annex II introductory note 1,413-418,https://www.boe.es/eli/es/rd/1997/05/12/664/con
HEALTHY-WORKER-BASELINE,worker_susceptibility,"Classification is based on effects on healthy workers; additional susceptibility (prior disease, medication, immune disorders, pregnancy or lactation) belongs in the risk assessment.",risk_group is agent-level metadata and must not be treated as worker-specific risk.,RD 664/1997 Annex II introductory note 2,420-423,https://www.boe.es/eli/es/rd/1997/05/12/664/con
UNLISTED-NOT-G1,unlisted_agent,Agents not classified in groups 2-4 are not implicitly group 1.,Unknown lookup returns unclassified/NA; never auto-assign group 1.,RD 664/1997 Annex II introductory note 3,426-429,https://www.boe.es/eli/es/rd/1997/05/12/664/con
UNLISTED-PROVISIONAL-CLASS,unlisted_agent,"If an agent is absent from the table, the employer must estimate infection risk using Article 3 definitions and provisionally assimilate it to a group; if in doubt between two groups, use the higher hazard group.",Software may expose a professional-assessment workflow but must not silently classify an unlisted agent.,RD 664/1997 Art. 4.3(a),165-168,https://www.boe.es/eli/es/rd/1997/05/12/664/con
HUMAN-VIRUS-MIN-G2,unlisted_human_virus,Viruses isolated in humans but not assessed/classified must be classified at least group 2 unless shown unlikely to cause disease in humans.,Return regulatory_minimum_group=2 and final_reference_level=NA pending professional assessment.,RD 664/1997 Annex II introductory note 7,439-439,https://www.boe.es/eli/es/rd/1997/05/12/664/con
GROUP3-LIMITED-AIRBORNE,group3_double_asterisk,Group 3 agents marked ** may present limited infection risk because they are not normally infectious by the airborne route.,Preserve risk_group=3 and a separate limited_airborne flag; never downgrade group.,RD 664/1997 Annex II introductory note 8,440-441,https://www.boe.es/eli/es/rd/1997/05/12/664/con
PARASITE-INFECTIOUS-STAGE,parasite,Containment requirements derived from parasite classification apply only to life-cycle stages infectious to humans at work.,Expose infectious_stage_context as a future technical field; do not alter legal group.,RD 664/1997 Annex II introductory note 9,442-442,https://www.boe.es/eli/es/rd/1997/05/12/664/con
FLAGS-A-D-T-V,registry_flags,A=possible allergic effects; D=exposure list retention >10 years; T=toxin production; V=effective vaccine available and registered in EU.,Store flags as independent booleans plus raw notes.,RD 664/1997 Annex II introductory note 10,443-452,https://www.boe.es/eli/es/rd/1997/05/12/664/con
MULTI-AGENT-ALL-HAZARDS,multiple_agents,"Where work involves exposure to several categories of biological agents, risks are assessed on the basis of the danger posed by all agents present.",Default multi-agent function reports all groups and refuses to collapse discordant groups to one value without an explicit policy.,RD 664/1997 Art. 4.1,157-160,https://www.boe.es/eli/es/rd/1997/05/12/664/con
ERBIO-MOST-PROBABLE-REFERENCE,erbio_method,"ERBio determines the reference level by selecting the biological agent(s) most likely in the evaluated area/job, considering most likely pathology or exposed entry routes.",Reference-level selection must preserve the identity of the selected plausible agent(s).,"Aguilar Elena doctoral thesis (2015), ERBio chapter 4",file-search turn49file0,
BASEBIO-TECHNICAL-NONOVERRIDE,technical_enrichment,BASEBiO provides expanded and updated technical information about agents and uses Annex II risk group classification.,BASEBiO enriches agent metadata but never silently overrides the legal registry risk_group.,INSST BASEBiO,409-417,https://www.insst.es/agentes-biologicos-basebio
