questionnaire_id,original_item,status,final_item,final_item_id,item_text_or_deleted_text,source_rule,mapping_confidence,notes
audit,1,retained_in_final_2015_annex1,1,AUDIT-F2015-001,La empresa ha realizado o dispone de una evaluación de riesgos biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,2,retained_in_final_2015_annex1,2,AUDIT-F2015-002,"La empresa, en la evaluación de riesgos ha identificado y clasificado los agentes biológicos (4 puntos)",Retained after internal-consistency analysis,high,
audit,3,retained_in_final_2015_annex1,3,AUDIT-F2015-003,La evaluación de riesgos se repite periódicamente (4 puntos),Retained after internal-consistency analysis,high,
audit,4,deleted_after_internal_consistency_analysis,,,La empresa en su hacer diario tiene en cuenta el estado del arte para evitar la utilización de agentes biológicos peligrosos.,Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,5,retained_in_final_2015_annex1,4,AUDIT-F2015-004,El empresario adopta las medidas higiénicas y de protección individual necesarias en todas las actividades donde existe riesgo para la salud o seguridad de los trabajadores como consecuencia del trabajo con agentes biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,6,retained_in_final_2015_annex1,5,AUDIT-F2015-005,Las medidas higiénicas adoptadas no suponen coste alguno para los trabajadores (4 puntos),Retained after internal-consistency analysis,high,
audit,7,retained_in_final_2015_annex1,6,AUDIT-F2015-006,"Los trabajadores disponen, dentro de la jornada laboral, de 10 minutos para su aseo personal antes de la comida y de otros 10 minutos antes de abandonar el trabajo (4 puntos)",Retained after internal-consistency analysis,high,
audit,8,retained_in_final_2015_annex1,7,AUDIT-F2015-007,"Al salir de la zona de trabajo, el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados con agentes biológicos y los guarda en un lugar que no contiene otras prendas (4 puntos)",Retained after internal-consistency analysis,high,
audit,9,deleted_after_internal_consistency_analysis,,,"Si los resultados de la evaluación de riesgos biológicos ponen de manifiesto un riesgo para la seguridad y salud de los trabajadores por exposición a agentes biológicos, la empresa evita dicha exposición y si no es posible reduce el riesgo de exposición al nivel más bajo posible.",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,10,deleted_after_internal_consistency_analysis,,,"El empresario se responsabiliza del lavado, descontaminación y, en su caso, destrucción de la ropa de trabajo y de los EPI.",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,11,deleted_after_internal_consistency_analysis,,,"El empresario prohíbe, de manera rigurosa, que los trabajadores se lleven la ropa de trabajo y los EPI a su domicilio.",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,12,deleted_after_internal_consistency_analysis,,,"Si el empresario contrata las operaciones de lavado, descontaminación y destrucción de la ropa de trabajo y EPI, se asegura que los mismos se envíen en recipientes cerrados y etiquetados con las advertencias precisas.",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,13,retained_in_final_2015_annex1,8,AUDIT-F2015-008,El empresario garantiza una vigilancia de la salud adecuada y específica de los trabajadores expuestos a riesgos derivados de la exposición a agentes biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,14,deleted_after_internal_consistency_analysis,,,El servicio de vigilancia de la salud lleva un historial médico individual de los trabajadores objeto de vigilancia sanitaria.,Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
audit,15,retained_in_final_2015_annex1,9,AUDIT-F2015-009,"Si existe riesgo de exposición a agentes biológicos para los que haya vacunas eficaces, la empresa las pone a disposición de los trabajadores informándoles de las ventajas e inconvenientes de la vacunación (4 puntos)",Retained after internal-consistency analysis,high,
