blind_id,case_id,preventive_actions_score,preventive_actions_reason,traceability_coherence_score,traceability_coherence_reason,adjudicator_id,adjudication_status
ADJ001,ERBB-P03,0.0,Only a generic instruction to identify and review the 29 failed items is provided.,4.0,"Compliance and exposure are correct, but the deterministic assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ002,ERBB-P02,5.0,"Correct failed-control IDs are linked, but actions remain generic.",4.0,"Core P02 risk result is correct, but denominator and GRB fields are incomplete.",ADJUDICATOR_A,COMPLETED
ADJ003,ERBB-P01,5.0,"Correct failed-control IDs are linked, but actions are generic.",4.0,"Core result is largely correct, but GRB and denominator fields are incomplete.",ADJUDICATOR_A,COMPLETED
ADJ004,ERBB-P03,0.0,Actions are broad and not linked to the actual 29 failed controls.,0.0,The response uses non-canonical and incomplete GRB/risk representations and does not reproduce the deterministic chain.,ADJUDICATOR_A,COMPLETED
ADJ005,ERBB-P03,0.0,Generic recommendation to review the 29 failures without item-specific actions.,4.0,"Compliance and exposure are correct, but the resolvable assessment remains incomplete.",ADJUDICATOR_A,COMPLETED
ADJ006,ERBB-P02,0.0,Preventive actions are generic and not linked to the individual failed controls.,4.0,"Core risk result is correct, but applicable/non-applicable counts are inconsistent.",ADJUDICATOR_A,COMPLETED
ADJ007,ERBB-P01,0.0,No preventive actions or individual failed controls are provided.,4.0,"Compliance is correct, but the resolvable deterministic assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ008,ERBB-P01,0.0,No preventive actions are provided.,4.0,"Compliance is correct, but classification and risk are unnecessarily left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ009,ERBB-P02,0.0,Actions are generic and not traceable to the actual failed controls.,0.0,"Material errors affect regulatory group, reference level, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ010,ERBB-P03,0.0,No preventive actions are provided.,4.0,"Compliance class is correct, but probability, GRB and risk class remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ011,ERBB-P01,0.0,No preventive actions are provided.,4.0,"Compliance is correct, but failed controls and deterministic risk fields are omitted.",ADJUDICATOR_A,COMPLETED
ADJ012,ERBB-P04,0.0,"Four failed controls are identified, but no preventive actions are provided.",8.0,"Core assessment values, denominator handling and failed-control identification are coherent and traceable.",ADJUDICATOR_A,COMPLETED
ADJ013,ERBB-P02,0.0,Only a generic preventive recommendation is provided.,4.0,"Compliance and exposure are correct, but the resolvable deterministic assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ014,ERBB-P01,0.0,Generic recommendation for eight unspecified failures without item-level traceability.,4.0,Assessment is interpretable but leaves resolvable classification and risk fields unresolved.,ADJUDICATOR_A,COMPLETED
ADJ015,ERBB-P02,0.0,Actions are generic and not linked to actual failed controls.,0.0,"Material errors affect denominator, compliance class, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ016,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but the deterministic assessment is unnecessarily left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ017,ERBB-P04,0.0,Only a generic professional-evaluation recommendation is provided; no action is linked to the four failed controls.,4.0,"Assessment remains interpretable, but n_not_applicable is reported as 36 instead of 32 and professional review is unjustifiably required.",ADJUDICATOR_A,COMPLETED
ADJ018,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Base data are coherent, but all deterministic risk fields remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ019,ERBB-P02,0.0,Actions are generic and not item-traceable.,0.0,"Response leaves classification unresolved while assigning unsupported high probability, GRB and risk.",ADJUDICATOR_A,COMPLETED
ADJ020,ERBB-P02,0.0,Action merely proposes identifying the eight failed controls.,4.0,"Base calculation is correct, but the deterministic risk assessment is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ021,ERBB-P02,5.0,"All eight failed-control IDs are linked, but actions are generic.",4.0,"Core assessment is correct, but denominator traceability is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ022,ERBB-P02,0.0,Actions are generic and not linked to the actual failed controls.,0.0,"Material errors affect reference level, denominator, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ023,ERBB-P01,0.0,Actions are not traceable to the actual failed controls.,0.0,"Material errors affect denominator, probability, GRB and risk classification.",ADJUDICATOR_A,COMPLETED
ADJ024,ERBB-P02,5.0,"All eight IDs are correctly linked, but actions remain generic.",8.0,Assessment is coherent and traceable to the deterministic reference.,ADJUDICATOR_A,COMPLETED
ADJ025,ERBB-P02,5.0,"All eight failed-control IDs are linked, but actions are generic.",4.0,"Risk class and probability are correct, but GRB is inconsistent with the reference score of 6.",ADJUDICATOR_A,COMPLETED
ADJ026,ERBB-P03,0.0,"The 29 failed controls are listed, but the single preventive action is generic and unlinked.",4.0,"Core deterministic result is correct, but denominator traceability is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ027,ERBB-P03,0.0,Actions are generic and based on an incorrect risk framework.,0.0,"Material errors affect regulatory group, reference level, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ028,ERBB-P02,0.0,No control-specific preventive action is provided.,4.0,"Compliance and exposure are correct, but the resolvable assessment is left incomplete.",ADJUDICATOR_A,COMPLETED
ADJ029,ERBB-P03,0.0,Actions are mapped to IDs but many are semantically incompatible with the corresponding failed controls.,4.0,"The main deterministic chain is correct, although preventive traceability is unreliable.",ADJUDICATOR_A,COMPLETED
ADJ030,ERBB-P02,5.0,"All eight failed controls are correctly linked, but actions lack control-specific content.",8.0,Assessment is fully coherent and source-traceable.,ADJUDICATOR_A,COMPLETED
ADJ031,ERBB-P01,5.0,"All eight failed-control IDs are correctly linked, but actions remain generic.",8.0,Assessment is coherent and traceable to the deterministic reference.,ADJUDICATOR_A,COMPLETED
